-271.1368485,-244.0231637,-216.9094788,-189.795794,-162.6821091,-135.5684243,-108.4547394,-81.34105456,-54.2273697,-27.11368485,0,27.11368485,54.2273697,81.34105456,108.4547394,135.5684243,162.6821091,189.795794,216.9094788,244.0231637,271.1368485
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.78,0.78,0.79,0.8,0.81,0.82,0.82,0.82,0.81,0.77,0.7,0.77,0.81,0.82,0.82,0.82,0.81,0.8,0.79,0.78,0.78
0.85,0.86,0.86,0.86,0.87,0.88,0.87,0.86,0.85,0.82,0.7,0.82,0.85,0.86,0.87,0.88,0.87,0.86,0.86,0.86,0.85
0.86,0.87,0.88,0.89,0.9,0.9,0.9,0.9,0.89,0.87,0.7,0.87,0.89,0.9,0.9,0.9,0.9,0.89,0.88,0.87,0.86
0.81,0.82,0.85,0.87,0.88,0.9,0.91,0.91,0.91,0.88,0.7,0.88,0.91,0.91,0.91,0.9,0.88,0.87,0.85,0.82,0.81
0.82,0.82,0.82,0.82,0.85,0.87,0.9,0.91,0.91,0.89,0.7,0.89,0.91,0.91,0.9,0.87,0.85,0.82,0.82,0.82,0.82
0.79,0.79,0.79,0.78,0.79,0.82,0.86,0.9,0.91,0.9,0.7,0.9,0.91,0.9,0.86,0.82,0.79,0.78,0.79,0.79,0.79
0.78,0.78,0.78,0.78,0.78,0.78,0.8,0.88,0.91,0.91,0.7,0.91,0.91,0.88,0.8,0.78,0.78,0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.8,0.9,0.92,0.7,0.92,0.9,0.8,0.78,0.78,0.78,0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.88,0.92,0.7,0.92,0.88,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.8,0.92,0.7,0.92,0.8,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
